site_number,1,4,5,6,8,9,11,36,40,44,48,132,149,153,157,161,165
1,4.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,6.0,6.0,0.0
2,8.0,0.0,0.0,10.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,4.0,9.0,8.0,6.0,0.0
3,8.0,0.0,0.0,10.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,4.0,9.0,8.0,6.0,0.0
4,10.0,0.0,0.0,12.0,0.0,0.0,6.0,0.0,1.0,7.0,0.0,0.0,10.0,9.0,15.0,6.0,0.0
5,10.0,0.0,0.0,12.0,0.0,0.0,6.0,0.0,1.0,7.0,0.0,0.0,10.0,9.0,15.0,6.0,0.0
6,16.0,0.0,0.0,13.0,0.0,0.0,8.0,0.0,4.0,8.0,0.0,0.0,13.0,9.0,15.0,6.0,1.0
7,16.0,0.0,0.0,13.0,0.0,0.0,8.0,0.0,4.0,8.0,0.0,0.0,13.0,9.0,17.0,6.0,2.0
8,16.0,0.0,0.0,13.0,0.0,0.0,8.0,0.0,4.0,8.0,0.0,0.0,13.0,9.0,17.0,6.0,2.0
9,16.0,0.0,0.0,13.0,0.0,0.0,8.0,0.0,4.0,8.0,0.0,0.0,13.0,9.0,17.0,6.0,2.0
10,16.0,0.0,0.0,13.0,0.0,0.0,8.0,0.0,4.0,8.0,0.0,0.0,13.0,9.0,17.0,6.0,2.0
11,17.0,0.0,0.0,13.0,1.0,0.0,10.0,0.0,5.0,9.0,0.0,0.0,14.0,9.0,17.0,6.0,2.0
12,17.0,0.0,0.0,13.0,1.0,0.0,10.0,0.0,5.0,9.0,0.0,0.0,14.0,9.0,17.0,6.0,2.0
13,17.0,0.0,0.0,13.0,1.0,0.0,10.0,0.0,5.0,9.0,0.0,0.0,14.0,9.0,17.0,6.0,2.0
14,17.0,0.0,0.0,11.0,1.0,3.0,11.0,0.0,5.0,9.0,0.0,0.0,14.0,9.0,17.0,6.0,2.0
15,7.0,0.0,0.0,8.0,0.0,1.0,5.0,0.0,0.0,3.0,0.0,0.0,3.0,9.0,13.0,6.0,1.0
16,7.0,0.0,0.0,8.0,0.0,1.0,5.0,0.0,0.0,3.0,0.0,0.0,3.0,9.0,13.0,6.0,1.0
17,7.0,0.0,0.0,8.0,0.0,1.0,5.0,0.0,0.0,3.0,0.0,0.0,3.0,9.0,13.0,6.0,1.0
18,7.0,0.0,0.0,8.0,0.0,1.0,5.0,0.0,0.0,3.0,0.0,0.0,3.0,9.0,13.0,6.0,1.0
19,9.0,0.0,0.0,8.0,0.0,1.0,12.0,0.0,0.0,3.0,0.0,0.0,6.0,9.0,14.0,6.0,2.0
20,9.0,0.0,0.0,9.0,0.0,1.0,15.0,0.0,3.0,6.0,2.0,0.0,6.0,11.0,15.0,6.0,2.0
21,9.0,0.0,0.0,9.0,0.0,1.0,15.0,0.0,3.0,6.0,2.0,0.0,6.0,11.0,15.0,6.0,2.0
22,9.0,0.0,0.0,9.0,0.0,1.0,15.0,0.0,3.0,6.0,2.0,0.0,6.0,11.0,15.0,6.0,2.0
23,9.0,0.0,0.0,9.0,0.0,1.0,15.0,0.0,3.0,6.0,2.0,0.0,6.0,11.0,15.0,6.0,2.0
24,13.0,0.0,0.0,10.0,1.0,1.0,14.0,0.0,5.0,6.0,2.0,0.0,9.0,11.0,15.0,6.0,2.0
26,19.0,2.0,2.0,14.0,1.0,2.0,14.0,0.0,5.0,6.0,2.0,0.0,9.0,11.0,15.0,6.0,2.0
27,19.0,2.0,2.0,14.0,1.0,2.0,14.0,0.0,5.0,6.0,2.0,0.0,13.0,11.0,15.0,6.0,2.0
28,19.0,2.0,2.0,14.0,1.0,2.0,14.0,0.0,5.0,6.0,2.0,0.0,13.0,11.0,15.0,6.0,2.0
42,13.0,2.0,1.0,10.0,1.0,1.0,3.0,0.0,5.0,6.0,0.0,0.0,6.0,9.0,10.0,6.0,1.0
43,13.0,2.0,1.0,10.0,1.0,1.0,3.0,0.0,5.0,6.0,0.0,0.0,6.0,9.0,10.0,6.0,1.0
58,9.0,0.0,0.0,8.0,0.0,1.0,9.0,4.0,4.0,6.0,0.0,0.0,11.0,9.0,9.0,6.0,3.0
59,11.0,0.0,0.0,7.0,1.0,2.0,9.0,2.0,5.0,8.0,6.0,0.0,5.0,8.0,15.0,6.0,3.0
60,13.0,0.0,0.0,11.0,1.0,2.0,10.0,2.0,5.0,9.0,6.0,0.0,5.0,8.0,15.0,6.0,3.0
61,13.0,0.0,0.0,11.0,1.0,2.0,10.0,2.0,5.0,9.0,6.0,0.0,5.0,8.0,15.0,6.0,3.0
62,14.0,0.0,2.0,8.0,1.0,4.0,14.0,2.0,5.0,8.0,2.0,0.0,7.0,5.0,7.0,3.0,3.0
63,15.0,0.0,2.0,9.0,1.0,4.0,6.0,0.0,6.0,0.0,3.0,0.0,3.0,0.0,13.0,3.0,2.0
64,15.0,0.0,2.0,9.0,1.0,4.0,6.0,0.0,6.0,0.0,3.0,0.0,3.0,0.0,13.0,3.0,2.0
65,15.0,0.0,2.0,9.0,1.0,4.0,6.0,0.0,6.0,0.0,3.0,0.0,3.0,0.0,13.0,3.0,2.0
66,19.0,0.0,2.0,12.0,1.0,5.0,10.0,4.0,8.0,6.0,5.0,0.0,6.0,4.0,13.0,4.0,4.0
67,19.0,0.0,2.0,12.0,1.0,5.0,10.0,4.0,8.0,6.0,5.0,0.0,6.0,4.0,13.0,4.0,4.0
68,19.0,0.0,2.0,12.0,1.0,5.0,10.0,4.0,8.0,6.0,5.0,0.0,6.0,4.0,13.0,4.0,4.0
69,19.0,0.0,2.0,12.0,1.0,5.0,10.0,4.0,8.0,6.0,5.0,0.0,6.0,4.0,13.0,4.0,4.0
70,12.157894736842104,2.0,2.0,10.31578947368421,1.0,1.0,10.941176470588236,2.6,6.538461538461538,8.2,2.0,0.0,6.0,4.555555555555555,11.090909090909092,5.0,2.6
71,12.157894736842104,2.0,2.0,10.31578947368421,1.0,1.0,10.941176470588236,2.6,6.538461538461538,8.2,2.0,0.0,6.0,4.555555555555555,11.090909090909092,5.0,2.6
72,12.157894736842104,2.0,2.0,10.31578947368421,1.0,1.0,10.941176470588236,2.6,6.538461538461538,8.2,2.0,0.0,6.0,4.555555555555555,11.090909090909092,5.0,2.6
73,11.0,0.0,2.0,8.0,1.0,1.0,13.0,3.0,7.0,1.0,0.0,0.0,6.0,5.0,12.0,5.0,2.0
75,15.0,0.0,2.0,12.0,1.0,3.0,15.0,5.0,7.0,7.0,4.0,0.0,10.0,5.0,12.0,7.0,2.0
76,22.0,0.0,2.0,19.0,3.0,4.0,23.0,7.0,8.0,8.0,6.0,0.0,19.0,12.0,15.0,7.0,3.0
77,22.0,0.0,2.0,19.0,3.0,4.0,23.0,7.0,8.0,8.0,6.0,0.0,19.0,12.0,15.0,7.0,3.0
78,22.0,0.0,2.0,19.0,3.0,4.0,23.0,7.0,8.0,8.0,6.0,0.0,19.0,12.0,15.0,7.0,3.0
79,22.0,0.0,2.0,19.0,3.0,6.0,22.0,7.0,8.0,11.0,6.0,0.0,19.0,12.0,16.0,7.0,3.0
80,22.0,0.0,2.0,19.0,3.0,6.0,22.0,7.0,8.0,11.0,6.0,0.0,19.0,12.0,16.0,7.0,3.0
81,22.0,0.0,2.0,19.0,3.0,6.0,22.0,7.0,8.0,11.0,6.0,0.0,19.0,12.0,16.0,7.0,3.0
83,22.0,0.0,2.0,19.0,3.0,6.0,24.0,7.0,8.0,11.0,6.0,0.0,19.0,12.0,16.0,7.0,3.0
84,14.0,0.0,1.0,8.0,3.0,4.0,11.0,5.0,7.0,5.0,0.0,0.0,9.0,0.0,4.0,0.0,1.0
85,14.0,0.0,1.0,8.0,3.0,4.0,11.0,5.0,7.0,5.0,0.0,0.0,9.0,0.0,4.0,0.0,1.0
86,14.0,0.0,1.0,8.0,3.0,4.0,11.0,5.0,7.0,5.0,0.0,0.0,9.0,0.0,4.0,0.0,1.0
87,19.0,0.0,1.0,18.0,2.0,5.0,13.0,7.0,7.0,10.0,2.0,0.0,9.0,0.0,4.0,0.0,2.0
88,19.0,0.0,1.0,18.0,2.0,5.0,13.0,7.0,7.0,10.0,2.0,0.0,9.0,0.0,4.0,0.0,2.0
89,19.0,0.0,1.0,18.0,2.0,5.0,13.0,7.0,7.0,10.0,2.0,0.0,9.0,0.0,4.0,0.0,2.0
91,20.0,0.0,1.0,20.0,2.0,6.0,15.0,7.0,7.0,10.0,3.0,0.0,16.0,0.0,6.0,0.0,3.0
92,25.0,0.0,1.0,22.0,1.0,6.0,16.0,10.0,10.0,13.0,3.0,0.0,18.0,0.0,6.0,0.0,3.0
93,28.0,0.0,1.0,23.0,1.0,6.0,17.0,10.0,10.0,13.0,3.0,0.0,19.0,1.0,8.0,0.0,4.0
94,16.0,0.0,0.0,10.0,0.0,2.0,14.0,3.0,3.0,9.0,1.0,0.0,16.0,1.0,4.0,0.0,2.0
95,13.0,0.0,0.0,9.0,0.0,4.0,8.0,2.0,3.0,9.0,1.0,0.0,11.0,1.0,1.0,0.0,2.0
96,13.0,0.0,0.0,9.0,0.0,4.0,8.0,2.0,3.0,9.0,1.0,0.0,11.0,1.0,1.0,0.0,2.0
97,13.0,0.0,0.0,9.0,0.0,4.0,8.0,2.0,3.0,9.0,1.0,0.0,11.0,1.0,1.0,0.0,2.0
98,20.0,0.0,0.0,10.0,0.0,4.0,12.0,3.0,3.0,9.0,2.0,0.0,16.0,1.0,3.0,0.0,2.0
99,19.0,0.0,0.0,11.25,0.0,3.0,10.222222222222221,3.6666666666666665,3.0,9.0,1.3333333333333333,0.0,12.666666666666666,1.0,4.0,0.0,2.0
100,22.0,0.0,0.0,10.0,0.0,2.0,10.0,4.0,3.0,9.0,1.0,0.0,12.0,2.0,2.0,0.0,2.0
101,22.0,0.0,0.0,10.0,0.0,2.0,10.0,4.0,3.0,9.0,1.0,0.0,12.0,2.0,2.0,0.0,2.0
102,22.0,0.0,0.0,10.0,0.0,2.0,10.0,4.0,3.0,9.0,1.0,0.0,12.0,2.0,2.0,0.0,2.0
103,22.0,0.0,0.0,10.0,0.0,2.0,10.0,4.0,3.0,9.0,1.0,0.0,12.0,2.0,2.0,0.0,2.0
104,25.0,0.0,0.0,10.0,1.0,2.0,11.0,4.0,3.0,9.0,1.0,0.0,18.0,2.0,2.0,0.0,2.0
105,13.0,0.0,0.0,7.0,1.0,2.0,8.0,2.0,3.0,9.0,2.0,0.0,17.0,2.0,0.0,0.0,2.0
106,20.0,0.0,0.0,11.0,1.0,2.0,8.0,3.0,3.0,9.0,2.0,0.0,17.0,5.0,3.0,0.0,2.0
108,10.0,0.0,0.0,9.0,0.0,2.0,6.0,3.0,4.0,9.0,2.0,1.0,9.0,4.0,3.0,0.0,1.0
109,14.0,0.0,0.0,12.0,1.0,2.0,10.0,5.0,5.0,9.0,5.0,1.0,13.0,4.0,3.0,0.0,2.0
110,14.0,0.0,0.0,12.0,1.0,2.0,10.0,5.0,5.0,9.0,5.0,1.0,13.0,4.0,3.0,0.0,2.0
111,21.0,0.0,0.0,16.0,1.0,2.0,11.0,5.0,5.0,9.0,5.0,1.0,15.0,4.0,4.0,0.0,3.0
113,24.0,0.0,0.0,16.0,1.0,2.0,12.0,5.0,5.0,10.0,5.0,1.0,17.0,5.0,7.0,1.0,3.0
115,24.0,0.0,0.0,16.0,1.0,2.0,12.0,5.0,5.0,10.0,5.0,1.0,17.0,5.0,7.0,1.0,3.0
117,26.0,0.0,0.0,18.0,1.0,2.0,13.0,5.0,5.0,10.0,5.0,1.0,22.0,5.0,7.0,1.0,3.0
119,26.0,0.0,0.0,18.0,1.0,2.0,13.0,5.0,5.0,10.0,5.0,1.0,22.0,5.0,7.0,1.0,3.0
